seed,N,pair,c,routing_F0,routing_Fi,routing_Fj,routing_Fij,F0_to_Fi,F0_to_Fj,F0_to_Fij,Fij_pattern_new,total_routing_changes,gamma_oper
1,100,photo-cartoon,0.1,"F,F,F,F","F,D,D,D","D,D,F,D","F,F,F,D",3,3,1,True,7,0.0777548697375654
1,100,photo-cartoon,0.15,"F,F,F,F","F,F,F,D","F,D,F,F","F,F,F,D",1,1,1,False,3,0.1174468400558288
1,100,photo-sketch,0.0,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,1,1,False,3,0.0125046198692082
1,100,photo-sketch,0.02,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,1,1,False,3,0.0175046198692081
1,100,photo-sketch,0.05,"F,F,F,D","F,D,D,D","D,D,D,D","F,D,F,D",2,3,1,True,6,0.0362694709416295
1,100,photo-sketch,0.1,"F,F,F,F","F,D,D,D","D,D,D,D","F,F,F,F",3,4,0,True,7,0.0942285983100186
1,100,photo-sketch,0.15,"F,F,F,F","F,F,F,D","D,D,D,D","F,F,F,F",1,4,0,True,5,0.1713099423702302
1,100,art_painting-cartoon,0.0,"D,D,F,D","D,D,D,D","D,D,F,D","D,D,D,D",1,0,1,False,2,0.0107369034686555
1,100,art_painting-cartoon,0.02,"D,D,F,D","D,D,D,D","D,D,F,D","D,D,D,D",1,0,1,False,2,0.0107369034686555
1,100,art_painting-cartoon,0.05,"F,F,F,D","D,F,D,D","D,D,F,D","D,D,F,D",2,2,2,False,6,0.0160613354043935
1,100,art_painting-cartoon,0.1,"F,F,F,F","F,F,F,D","D,D,F,D","F,F,F,D",1,3,1,False,5,0.0511476943748419
1,100,art_painting-cartoon,0.15,"F,F,F,F","F,F,F,D","F,D,F,F","F,F,F,D",1,1,1,False,3,0.0762583206328938
1,100,art_painting-sketch,0.0,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,1,1,False,3,0.0125046198692082
1,100,art_painting-sketch,0.02,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,1,1,False,3,0.0175046198692081
1,100,art_painting-sketch,0.05,"F,F,F,D","D,F,D,D","D,D,D,D","D,D,F,D",2,3,2,True,7,0.0321550277345377
