index,N,pair,c,routing_change,count,mean,std,median,min,max
79,50,photo-sketch,0.1,True,5,0.09372086906986418,0.030273917646071076,0.1021875914437949,0.0439761511188808,0.1233461706818316
80,50,photo-sketch,0.15,True,5,0.13981860076681774,0.03387129651099065,0.144585325217832,0.0836748122501002,0.1713817453084074
81,100,art_painting-cartoon,0.0,False,1,0.0,0.0,0.0,0.0,0.0
82,100,art_painting-cartoon,0.0,True,4,0.0154986680070599,0.007085918293582697,0.01264873623307605,0.0107369034686555,0.025960296093432
83,100,art_painting-cartoon,0.02,True,5,0.01752754177918625,0.01276847011276752,0.0187132615311524,1.4499002841450448e-05,0.0330037842875595
84,100,art_painting-cartoon,0.05,True,5,0.02848562157671546,0.013676991022046944,0.0332858470964693,0.0119300938767649,0.0420626174648998
85,100,art_painting-cartoon,0.1,True,5,0.0638292264449577,0.022533274378957396,0.0596119945580768,0.0358442400735132,0.0918367342117471
86,100,art_painting-cartoon,0.15,True,5,0.09645251117239365,0.029352976334224245,0.0840849013240871,0.0665277607837214,0.1320461068942118
87,100,art_painting-sketch,0.0,False,1,0.0,0.0,0.0,0.0,0.0
88,100,art_painting-sketch,0.0,True,4,0.01543078443731015,0.007648412581670537,0.0131089407001803,0.0090004740291373,0.0265047823197427
89,100,art_painting-sketch,0.02,True,5,0.01804118995933833,0.012595534039464005,0.0183600412194805,1.4499002841450448e-05,0.0356135281740092
90,100,art_painting-sketch,0.05,True,5,0.031610455105708216,0.013863988385495999,0.0321550277345377,0.0119300938767649,0.0509950282018403
91,100,art_painting-sketch,0.1,True,5,0.07948084090878352,0.01551412768704836,0.074969073021017,0.0636419802437864,0.1047497778919983
92,100,art_painting-sketch,0.15,True,5,0.13876139515152955,0.01714263223408907,0.1300804361197358,0.1253791858602945,0.1665465024336965
93,100,cartoon-sketch,0.0,False,1,0.0,0.0,0.0,0.0,0.0
94,100,cartoon-sketch,0.0,True,4,0.01845721367504015,0.007538010893916608,0.017233659141994,0.0107369034686555,0.0286246329475171
