seed,N,pair,c,gamma_learn,gamma_oper,delta_gamma,delta_class,sign_change,route_interaction_count,route_interaction_l1
0,25,art_painting-cartoon,0.15,0.0522517105769787,0.0490756666849103,-0.0031760438920684017,ABSORB,False,1,1
0,25,art_painting-sketch,0.0,0.0691880514101574,0.0103435756760733,-0.05884447573408409,ABSORB,False,2,3
0,25,art_painting-sketch,0.02,0.0691880514101574,0.0214697889185371,-0.0477182624916203,ABSORB,False,2,2
0,25,art_painting-sketch,0.05,0.0691880514101574,0.0371491226394035,-0.03203892877075389,ABSORB,False,2,2
0,25,art_painting-sketch,0.1,0.0691880514101574,0.0497162654185955,-0.019471785991561893,ABSORB,False,1,1
0,25,art_painting-sketch,0.15,0.0691880514101574,0.0660052506665749,-0.0031828007435825006,ABSORB,False,1,1
0,25,cartoon-sketch,0.0,0.0994786770436038,0.0132946376794123,-0.0861840393641915,ABSORB,False,1,1
0,25,cartoon-sketch,0.02,0.0994786770436038,0.0145868762183319,-0.0848918008252719,ABSORB,False,0,0
0,25,cartoon-sketch,0.05,0.0994786770436038,0.0228280176629049,-0.0766506593806989,ABSORB,False,1,2
0,25,cartoon-sketch,0.1,0.0994786770436038,0.0609656265000849,-0.038513050543518904,ABSORB,False,2,3
0,25,cartoon-sketch,0.15,0.0994786770436038,0.0931198324079528,-0.0063588446356510064,ABSORB,False,2,2
0,50,photo-art_painting,0.0,0.1176674511734499,0.0110976250697075,-0.1065698261037424,ABSORB,False,2,2
0,50,photo-art_painting,0.02,0.1176674511734499,0.0210976250697075,-0.0965698261037424,ABSORB,False,2,2
0,50,photo-art_painting,0.05,0.1176674511734499,0.040900705167805,-0.0767667460056449,ABSORB,False,4,4
0,50,photo-art_painting,0.1,0.1176674511734499,0.0685736327326919,-0.049093818440758,ABSORB,False,2,2
0,50,photo-art_painting,0.15,0.1176674511734499,0.0856976476955565,-0.031969803477893396,ABSORB,False,1,1
0,50,photo-cartoon,0.0,0.14000531301585,0.01679040624083,-0.12321490677502,ABSORB,False,2,3
0,50,photo-cartoon,0.02,0.14000531301585,0.03179040624083,-0.10821490677502,ABSORB,False,2,3
0,50,photo-cartoon,0.05,0.14000531301585,0.0576827687952051,-0.08232254422064492,ABSORB,False,4,5
0,50,photo-cartoon,0.1,0.14000531301585,0.0848184117113239,-0.05518690130452611,ABSORB,False,1,1
0,50,photo-cartoon,0.15,0.14000531301585,0.0973184117113239,-0.04268690130452611,ABSORB,False,1,1
0,50,photo-sketch,0.0,0.2935787999377314,0.0157351517221595,-0.2778436482155719,ABSORB,False,2,2
0,50,photo-sketch,0.02,0.2935787999377314,0.0257351517221595,-0.2678436482155719,ABSORB,False,2,2
0,50,photo-sketch,0.05,0.2935787999377314,0.0506070437683523,-0.2429717561693791,ABSORB,False,4,5
0,50,photo-sketch,0.1,0.2935787999377314,0.1088817453084074,-0.184697054629324,ABSORB,False,4,5
0,50,photo-sketch,0.15,0.2935787999377314,0.1713817453084074,-0.12219705462932398,ABSORB,False,4,5
0,50,art_painting-cartoon,0.0,0.060002357796417,0.0108587549733579,-0.0491436028230591,ABSORB,False,2,2
0,50,art_painting-cartoon,0.02,0.060002357796417,0.0208587549733579,-0.0391436028230591,ABSORB,False,2,2
0,50,art_painting-cartoon,0.05,0.060002357796417,0.0393508546169824,-0.0206515031794346,ABSORB,False,4,4
0,50,art_painting-cartoon,0.1,0.060002357796417,0.0606420410444037,0.0006396832479866957,AMPLIFY,False,1,1
0,50,art_painting-cartoon,0.15,0.060002357796417,0.0652660560072684,0.005263698210851396,AMPLIFY,False,0,0
0,50,art_painting-sketch,0.0,0.2459396726282047,0.0101048267982649,-0.2358348458299398,ABSORB,False,2,2
0,50,art_painting-sketch,0.02,0.2459396726282047,0.0220572204492731,-0.2238824521789316,ABSORB,False,2,3
0,50,art_painting-sketch,0.05,0.2459396726282047,0.0480493200928975,-0.1978903525353072,ABSORB,False,4,5
0,50,art_painting-sketch,0.1,0.2459396726282047,0.0996564127719286,-0.1462832598562761,ABSORB,False,4,5
0,50,art_painting-sketch,0.15,0.2459396726282047,0.1542804277347934,-0.09165924489341132,ABSORB,False,3,4
