seed,N,domain_i,domain_j,pair,DeltaS_i_photo,DeltaS_j_photo,DeltaS_ij_photo,DeltaS_ij_CM_photo,interaction_S_photo,DeltaS_i_art_painting,DeltaS_j_art_painting,DeltaS_ij_art_painting,DeltaS_ij_CM_art_painting,interaction_S_art_painting,DeltaS_i_cartoon,DeltaS_j_cartoon,DeltaS_ij_cartoon,DeltaS_ij_CM_cartoon,interaction_S_cartoon,DeltaS_i_sketch,DeltaS_j_sketch,DeltaS_ij_sketch,DeltaS_ij_CM_sketch,interaction_S_sketch
0,50,art_painting,sketch,art_painting__sketch,-0.003912552538009484,-0.19047306343508474,-0.03469274250300791,-0.01481237656352874,0.15969287347008632,0.001143494842294035,-0.4323993174122228,-0.060407326062134725,-0.013301466174319931,0.37084849650779406,-0.10652882772658345,-0.10540978504517617,-0.058276794958018296,-0.022192721733214293,0.15366181781374133,-0.1459603915044282,-0.15181890651330787,-0.13673018263518233,-0.02487978464916385,0.16104911538255373
0,50,cartoon,sketch,cartoon__sketch,-0.0598170302603801,-0.19047306343508474,-0.10034160741295661,-0.0749602523001538,0.14994848628250823,-0.06379158628625581,-0.4323993174122228,-0.14647296991590564,-0.09534737697121265,0.349717933782573,-0.0161003789872618,-0.10540978504517617,-0.0028104630731476954,-0.0036372851350348068,0.11869970095929028,-0.03566594794612554,-0.15181890651330787,-0.02002403359463667,-0.018539182667322907,0.16746082086479674
0,100,photo,art_painting,photo__art_painting,0.01546103548328237,0.0020821825207649747,0.01156950235291243,0.01139356991097007,-0.005973715651134914,-0.10268127675264926,-0.0513828993236467,-0.0314681515444617,-0.03695325734378585,0.12259602453183427,-0.18347641198668363,-0.1478704950914712,-0.15523668268496693,-0.15533974447966115,0.1761102243931879,-0.2083972648927459,-0.15170495566394004,-0.21015805398047582,-0.23936586917832048,0.14994416657621013
0,100,photo,cartoon,photo__cartoon,0.01546103548328237,-0.06458023822555847,0.01576581689405454,0.0006356268870172377,0.06488501963633064,-0.10268127675264926,-0.12664924571556824,-0.04456940147098376,-0.03101356803522659,0.18476112099723374,-0.18347641198668363,-0.0313453975885869,-0.02723304689595596,-0.02910302267639764,0.18758876267931457,-0.2083972648927459,-0.025102115519658796,0.004374605056347458,-0.0017291614599010963,0.23787398546875216
0,100,photo,sketch,photo__sketch,0.01546103548328237,-0.4490772480046277,0.0055957867017774054,-0.010062200631086649,0.43921199922312276,-0.10268127675264926,-0.5233022143133241,-0.04365195148496681,-0.023508575988656855,0.5823315395810067,-0.18347641198668363,-0.21526797784452134,-0.08260896620358338,-0.06021344953033725,0.3161354236276216,-0.2083972648927459,-0.1895304339806737,-0.08422355433142081,-0.13023855479573432,0.3137041445419988
0,100,art_painting,cartoon,art_painting__cartoon,0.0020821825207649747,-0.06458023822555847,-0.04432194333672179,-0.019021723137407243,0.018176112368071706,-0.0513828993236467,-0.12664924571556824,-0.06699148368433527,-0.03642288022828921,0.11104066135487967,-0.1478704950914712,-0.0313453975885869,-0.054511877401377085,-0.046593094085431996,0.12470401527868102,-0.15170495566394004,-0.025102115519658796,-0.03643323163172074,0.011254460748477357,0.1403738395518781
0,100,art_painting,sketch,art_painting__sketch,0.0020821825207649747,-0.4490772480046277,-0.029062904360854458,-0.02941476924473907,0.4179321611230083,-0.0513828993236467,-0.5233022143133241,-0.0761886058429655,-0.04862974778809148,0.4984965077940054,-0.1478704950914712,-0.21526797784452134,-0.04563810594725881,-0.014028644304253879,0.31750036698873374,-0.15170495566394004,-0.1895304339806737,-0.15323703672306466,-0.0827487467318122,0.1879983529215491
0,100,cartoon,sketch,cartoon__sketch,-0.06458023822555847,-0.4490772480046277,-0.10472688642877748,-0.10373939465787552,0.4089305998014087,-0.12664924571556824,-0.5233022143133241,-0.2231520521274758,-0.18963595912310982,0.4267994079014166,-0.0313453975885869,-0.21526797784452134,-0.028152153539359293,-0.010226541494003816,0.21846122189374895,-0.025102115519658796,-0.1895304339806737,-0.14515833297117064,-0.1391054462406318,0.06947421652916186
1,25,photo,art_painting,photo__art_painting,0.0027283061765820404,0.010204081632653073,0.0054539057002110924,0.005102040816326481,-0.0074784821090240206,-0.013273351585550097,0.006409473102324648,0.014541387821603302,0.016876590908686095,0.02140526630482875,-0.094597822978291,-0.05871632811860761,-0.12304375881516849,-0.05782759936102644,0.03027039228173012,-0.1395674297932833,-0.03828846549918019,-0.17558792874463075,-0.06238324735779277,0.0022679665478326783
1,25,photo,cartoon,photo__cartoon,0.0027283061765820404,-0.041958534076760756,0.0027283061765820404,0.0027283061765820404,0.041958534076760756,-0.013273351585550097,-0.05713769142116132,-0.02115856665851057,0.003951420840658804,0.049252476348200847,-0.094597822978291,-0.033012268475772766,-0.06012916461063278,-0.03252452880927581,0.06748092684343099,-0.1395674297932833,-0.04110599821523764,-0.07641423822847193,-0.059245846014370884,0.104259189780049
1,25,photo,sketch,photo__sketch,0.0027283061765820404,-0.08597272741560047,-0.015130190007037414,-0.020056298381421533,0.06811423123198102,-0.013273351585550097,-0.09814182459227916,0.008482301249667423,0.010710092951143446,0.11989747742749668,-0.094597822978291,-0.05734498365419238,-0.036660064015941796,-0.01883930692733249,0.11528274261654159,-0.1395674297932833,0.006696392344451629,0.035406384184267004,0.009477038540466443,0.16827742163309867
1,25,art_painting,cartoon,art_painting__cartoon,0.010204081632653073,-0.041958534076760756,0.00017593244194225033,0.010204081632653073,0.031930384886049934,0.006409473102324648,-0.05713769142116132,-0.027787790749299157,0.00011970224067636703,0.022940427569537514,-0.05871632811860761,-0.033012268475772766,-0.02904522736646986,-0.021737433391032734,0.06268336922791051,-0.03828846549918019,-0.04110599821523764,-0.060948622213573,-0.027918594182354206,0.01844584150084483
