seed,N,intervention_domain,c,DeltaS_photo,DeltaS_art_painting,DeltaS_cartoon,DeltaS_sketch,DeltaS_local,DeltaS_cross_mean,DeltaS_cross_sum,cross_domains_improved,cross_domains_worsened,cross_domains_zero,singleton_class,cross_loss_exceeds_local_gain,DeltaV_contribution_photo,DeltaV_contribution_art_painting,DeltaV_contribution_cartoon,DeltaV_contribution_sketch,DeltaV_local_learning,DeltaV_cross_learning,DeltaV_routing_adjustment,DeltaV,negative_dominant_term
0,100,cartoon,0.0,-0.06458023822555858,-0.12664924571556824,-0.0313453975885869,-0.025102115519658796,-0.0313453975885869,-0.07211053315359521,-0.21633159946078562,0,3,0,C,False,0.0,-0.014705562769753128,-0.0010295889524064572,0.0,-0.007836349397146725,-0.054082899865196404,0.046184097540183544,-0.015735151722159585,cross_loss
0,100,cartoon,0.02,-0.06458023822555858,-0.12664924571556824,-0.0313453975885869,-0.025102115519658796,-0.0313453975885869,-0.07211053315359521,-0.21633159946078562,0,3,0,C,False,0.0,-0.019705562769753132,-0.006029588952406462,0.0,-0.007836349397146725,-0.054082899865196404,0.036184097540183535,-0.025735151722159594,cross_loss
0,100,cartoon,0.05,-0.06458023822555858,-0.12664924571556824,-0.0313453975885869,-0.025102115519658796,-0.0313453975885869,-0.07211053315359521,-0.21633159946078562,0,3,0,C,False,0.0,-0.02720556276975314,-0.007836349397146725,-0.003624332737084013,-0.007836349397146725,-0.054082899865196404,0.023253004358359253,-0.038666244903983876,cross_loss
0,100,cartoon,0.1,-0.06458023822555858,-0.12664924571556824,-0.0313453975885869,-0.025102115519658796,-0.0313453975885869,-0.07211053315359521,-0.21633159946078562,0,3,0,C,False,-0.011015367709313412,-0.03166231142889206,-0.007836349397146725,-0.006275528879914699,-0.007836349397146725,-0.054082899865196404,0.005129691847076234,-0.056789557415266895,cross_loss
0,100,cartoon,0.15,-0.06458023822555858,-0.12664924571556824,-0.0313453975885869,-0.025102115519658796,-0.0313453975885869,-0.07211053315359521,-0.21633159946078562,0,3,0,C,False,-0.016145059556389646,-0.03166231142889206,-0.007836349397146725,-0.006275528879914699,-0.007836349397146725,-0.054082899865196404,0.0,-0.06191924926234313,cross_loss
0,100,photo,0.0,0.01546103548328237,-0.10268127675264926,-0.18347641198668363,-0.2083972648927459,0.01546103548328237,-0.16485165121069292,-0.4945549536320788,0,3,0,A,True,0.0,-0.014705562769753128,-0.0010295889524064572,0.0,0.0038652588708205926,-0.1236387384080197,0.10403832781503952,-0.015735151722159585,cross_loss
0,100,photo,0.02,0.01546103548328237,-0.10268127675264926,-0.18347641198668363,-0.2083972648927459,0.01546103548328237,-0.16485165121069292,-0.4945549536320788,0,3,0,A,True,0.0,-0.019705562769753132,-0.006029588952406462,0.0,0.0038652588708205926,-0.1236387384080197,0.09403832781503951,-0.025735151722159594,cross_loss
0,100,photo,0.05,0.01546103548328237,-0.10268127675264926,-0.18347641198668363,-0.2083972648927459,0.01546103548328237,-0.16485165121069292,-0.4945549536320788,0,3,0,A,True,0.002380626580134021,-0.025670319188162316,-0.013529588952406468,-0.003624332737084013,0.0038652588708205926,-0.1236387384080197,0.07932986523968033,-0.040443614297518776,cross_loss
0,100,photo,0.1,0.01546103548328237,-0.10268127675264926,-0.18347641198668363,-0.2083972648927459,0.01546103548328237,-0.16485165121069292,-0.4945549536320788,0,3,0,A,True,0.0038652588708205926,-0.025670319188162316,-0.02602958895240645,-0.016124332737083996,0.0038652588708205926,-0.1236387384080197,0.055814497530366936,-0.06395898200683217,cross_loss
0,100,photo,0.15,0.01546103548328237,-0.10268127675264926,-0.18347641198668363,-0.2083972648927459,0.01546103548328237,-0.16485165121069292,-0.4945549536320788,0,3,0,A,True,0.0038652588708205926,-0.025670319188162316,-0.03852958895240646,-0.028624332737084007,0.0038652588708205926,-0.1236387384080197,0.030814497530366913,-0.0889589820068322,cross_loss
