state_type,seed,evaluation_split,test_used,ba_photo,ba_art_painting,ba_cartoon,ba_sketch,N,domain,domain_i,domain_j
Fij_CM,1,validation,False,0.7754788592942097,0.5327675734532428,0.7945172492258549,0.5482072940730295,100.0,,cartoon,sketch
Fij_CM,1,validation,False,0.9288026291204426,0.7229117408109664,0.7147047783128971,0.4250199546648559,100.0,,photo,art_painting
Fij_CM,1,validation,False,0.9266048269226405,0.6747598519677973,0.7709129792071219,0.5072843361759556,100.0,,photo,cartoon
Fij_CM,1,validation,False,0.887810370147888,0.7060478132075035,0.7735654027205635,0.6310416142371793,100.0,,photo,sketch
Fij_CM,1,validation,False,0.9288026291204426,0.7108417135967355,0.8213634071431436,0.6155852451011988,25.0,,art_painting,cartoon
Fij_CM,1,validation,False,0.8932642758480992,0.72937187792984,0.7981161988907406,0.6786450692760003,25.0,,art_painting,sketch
Fij_CM,1,validation,False,0.8364933652078098,0.6396719626379598,0.8274601253171899,0.6412007500991797,25.0,,cartoon,sketch
Fij_CM,1,validation,False,0.923700588304116,0.7275986022647453,0.7852732411731499,0.5811205919257603,25.0,,photo,art_painting
Fij_CM,1,validation,False,0.9213268536643716,0.714673432196718,0.8105763117249005,0.5842579932691822,25.0,,photo,cartoon
Fij_CM,1,validation,False,0.898542249106368,0.7214321043072026,0.8242615336068438,0.6529808778240195,25.0,,photo,sketch
Fij_CM,1,validation,False,0.9185985474877896,0.7043806939329327,0.8008463832941254,0.5862162550464337,50.0,,art_painting,cartoon
Fij_CM,1,validation,False,0.8811774988081995,0.7001318743435229,0.7812143942471826,0.6435785885973916,50.0,,art_painting,sketch
Fij_CM,1,validation,False,0.7988623326459017,0.5957660001482242,0.8154957898753185,0.6210686996392649,50.0,,cartoon,sketch
Fij_CM,1,validation,False,0.9089222631809635,0.7295123537127802,0.7111525681534773,0.44056781808629497,50.0,,photo,art_painting
Fij_CM,1,validation,False,0.9266048269226405,0.6857327435882032,0.7800783889108756,0.5469945875674643,50.0,,photo,cartoon
Fij_CM,1,validation,False,0.8981903842224834,0.714947401671675,0.7986645603009659,0.6859608244641499,50.0,,photo,sketch
Fij_CM,2,validation,False,0.9066877028898322,0.7442003182589259,0.7490727629342733,0.7076159614584696,100.0,,art_painting,cartoon
Fij_CM,2,validation,False,0.880434672942221,0.7122515262302144,0.7861355170213715,0.7784993137489524,100.0,,art_painting,sketch
Fij_CM,2,validation,False,0.7943646127342296,0.5962000927369203,0.7694840086303204,0.7069135227723116,100.0,,cartoon,sketch
Fij_CM,2,validation,False,0.9107211170217685,0.7501266327531716,0.708140449911434,0.5137065791487008,100.0,,photo,art_painting
Fij_CM,2,validation,False,0.9207833176528553,0.7378100853981046,0.7699613414581249,0.6123074537329896,100.0,,photo,cartoon
Fij_CM,2,validation,False,0.8947062201471863,0.7029726099853538,0.7866241360571322,0.722551458419067,100.0,,photo,sketch
Fij_CM,2,validation,False,0.9154923123618499,0.7397162017509055,0.8219586043057749,0.6903608073828617,25.0,,art_painting,cartoon
Fij_CM,2,validation,False,0.8955648629492583,0.7117722919688505,0.8006287224983452,0.7256373931808993,25.0,,art_painting,sketch
Fij_CM,2,validation,False,0.8909696000511191,0.6941524311961348,0.8141582312128085,0.6818626807174111,25.0,,cartoon,sketch
Fij_CM,2,validation,False,0.9103902715455234,0.7424006564657439,0.7873544993892644,0.5819601710001381,25.0,,photo,art_painting
Fij_CM,2,validation,False,0.9154923123618499,0.7247661118278153,0.8190166063847972,0.5974604547444605,25.0,,photo,cartoon
Fij_CM,2,validation,False,0.8953889305073159,0.7350235535778051,0.7972564233147094,0.7055900495284801,25.0,,photo,sketch
Fij_CM,2,validation,False,0.920607385210913,0.739374299724217,0.7911268235351525,0.6456891035686442,50.0,,art_painting,cartoon
Fij_CM,2,validation,False,0.8996794119946829,0.7146942685930374,0.8047804090015498,0.7691049489843269,50.0,,art_painting,sketch
Fij_CM,2,validation,False,0.8807995698588421,0.6545736811594685,0.796282247123092,0.732083479770346,50.0,,cartoon,sketch
Fij_CM,2,validation,False,0.9155053443945864,0.7495147138389993,0.7347340243285282,0.5809996475709571,50.0,,photo,art_painting
