seed,N,domain_i,domain_j,pair,c,V_F0,V_Fij,V_Fij_CM,DeltaV_ij,DeltaV_ij_CM,D_dose,routing_Fij_CM
0,100,art_painting,sketch,art_painting__sketch,0.1,0.818672464573932,0.7648257277990782,0.7795298415025768,-0.05384673677485374,-0.03914262307135519,-0.014704113703498556,"F,F,F,D"
0,100,art_painting,sketch,art_painting__sketch,0.15,0.818672464573932,0.7523257277990782,0.7749669875567077,-0.0663467367748537,-0.04370547701722427,-0.02264125975762943,"F,F,F,F"
0,100,cartoon,sketch,cartoon__sketch,0.0,0.8415327641275345,0.825797612405375,0.825797612405375,-0.015735151722159557,-0.015735151722159557,0.0,"D,D,D,D"
0,100,cartoon,sketch,cartoon__sketch,0.02,0.8315327641275345,0.805797612405375,0.8092705659842805,-0.025735151722159566,-0.02226219814325403,-0.0034729535789055355,"D,D,F,D"
0,100,cartoon,sketch,cartoon__sketch,0.05,0.8201570968646186,0.7822891629729415,0.7867705659842803,-0.037867933891677086,-0.03338653088033827,-0.004481403011338814,"D,D,F,D"
0,100,cartoon,sketch,cartoon__sketch,0.1,0.818672464573932,0.7447891629729415,0.7492705659842804,-0.07388330160099044,-0.06940189858965151,-0.004481403011338925,"D,D,F,D"
0,100,cartoon,sketch,cartoon__sketch,0.15,0.818672464573932,0.7072891629729416,0.7165671389732562,-0.1113833016009903,-0.10210532560067576,-0.009277976000314547,"D,F,F,D"
1,25,photo,art_painting,photo__art_painting,0.0,0.8188822188869986,0.8063775990177904,0.8063775990177904,-0.012504619869208256,-0.012504619869208256,0.0,"D,D,D,D"
1,25,photo,art_painting,photo__art_painting,0.02,0.8038822188869986,0.7863775990177905,0.7894253190467421,-0.01750461986920815,-0.014456899840256554,-0.003047720028951595,"D,D,F,D"
1,25,photo,art_painting,photo__art_painting,0.05,0.7851922296373651,0.7651864331486105,0.7762299877283617,-0.020005796488754668,-0.00896224190900341,-0.011043554579751258,"F,F,F,D"
1,25,photo,art_painting,photo__art_painting,0.1,0.7789813096653946,0.7469301133140265,0.7637299877283616,-0.032051196351368105,-0.015251321937032936,-0.01679987441433517,"F,F,F,D"
1,25,photo,art_painting,photo__art_painting,0.15,0.7789813096653946,0.7344301133140265,0.7544232559169429,-0.04455119635136806,-0.024558053748451658,-0.019993142602916403,"F,F,F,F"
1,25,photo,cartoon,photo__cartoon,0.0,0.8188822188869986,0.8063775990177904,0.8107510866846797,-0.012504619869208256,-0.00813113220231898,-0.004373487666889275,"D,D,F,D"
1,25,photo,cartoon,photo__cartoon,0.02,0.8038822188869986,0.7888499277343405,0.7957510866846796,-0.01503229115265814,-0.00813113220231898,-0.006901158950339159,"D,D,F,D"
1,25,photo,cartoon,photo__cartoon,0.05,0.7851922296373651,0.7689605527150593,0.7787310291893563,-0.01623167692230587,-0.006461200448008797,-0.009770476474297074,"F,F,F,D"
1,25,photo,cartoon,photo__cartoon,0.1,0.7789813096653946,0.7530523733642247,0.7662310291893564,-0.02592893630116988,-0.012750280476038212,-0.013178655825131669,"F,F,F,D"
1,25,photo,cartoon,photo__cartoon,0.15,0.7789813096653946,0.7405523733642247,0.757708647713793,-0.038428936301169836,-0.0212726619516016,-0.017156274349568235,"F,F,F,F"
1,25,photo,sketch,photo__sketch,0.0,0.8188822188869986,0.8097172028830132,0.8141723921551656,-0.009165016003985449,-0.004709826731833067,-0.004455189272152382,"D,D,F,D"
1,25,photo,sketch,photo__sketch,0.02,0.8038822188869986,0.7947172028830132,0.7991723921551656,-0.009165016003985449,-0.004709826731833067,-0.004455189272152382,"D,D,F,D"
1,25,photo,sketch,photo__sketch,0.05,0.7851922296373651,0.7788599165833194,0.7812313777067447,-0.006332313054045691,-0.003960851930620457,-0.0023714611234252336,"D,F,F,D"
1,25,photo,sketch,photo__sketch,0.1,0.7789813096653946,0.7770059175181333,0.7743041912111085,-0.001975392147261279,-0.004677118454286089,0.00270172630702481,"F,F,F,F"
1,25,photo,sketch,photo__sketch,0.15,0.7789813096653946,0.7770059175181333,0.7743041912111085,-0.001975392147261279,-0.004677118454286089,0.00270172630702481,"F,F,F,F"
1,25,art_painting,cartoon,art_painting__cartoon,0.0,0.8188822188869986,0.8116209120453812,0.8134478605392405,-0.00726130684161741,-0.005434358347758184,-0.0018269484938592262,"D,D,F,D"
