seed,domain,N,method,c,V_F0,V,DeltaV,routing_F0,routing,DeltaV_contribution_photo,DeltaV_contribution_art_painting,DeltaV_contribution_cartoon,DeltaV_contribution_sketch
0,photo,25,REP,0.1,0.818672464573932,0.7920495560723882,-0.026622908501543696,"F,F,F,F","F,F,F,F",0.0025864906585548464,-0.002884543448172683,-0.01263566344535852,-0.01368919226656723
0,photo,25,REP,0.15,0.818672464573932,0.7920495560723882,-0.026622908501543696,"F,F,F,F","F,F,F,F",0.0025864906585548464,-0.002884543448172683,-0.01263566344535852,-0.01368919226656723
0,photo,25,REP2,0.0,0.8415327641275345,0.8364097860520004,-0.005122978075534079,"D,F,F,D","D,F,D,D",0.0,-0.004093389123127622,-0.0010295889524064572,0.0
0,photo,25,REP2,0.02,0.8315327641275345,0.8214097860520004,-0.010122978075534084,"D,F,F,D","D,F,D,D",0.0,-0.004093389123127622,-0.006029588952406462,0.0
0,photo,25,REP2,0.05,0.8201570968646186,0.7989097860520004,-0.021247310812618214,"D,F,F,F","D,F,D,D",0.0,-0.004093389123127622,-0.013529588952406468,-0.003624332737084013
0,photo,25,REP2,0.1,0.818672464573932,0.7812656245139643,-0.03740684005996764,"F,F,F,F","F,F,F,D",-0.0009846541508705953,-0.004093389123127622,-0.016204464048885314,-0.016124332737083996
0,photo,25,REP2,0.15,0.818672464573932,0.7719148090363441,-0.04675765553758782,"F,F,F,F","F,F,F,F",-0.0009846541508705953,-0.004093389123127622,-0.016204464048885314,-0.025475148214704202
0,art_painting,25,STD,0.0,0.8415327641275345,0.8331947254794604,-0.008338038648074142,"D,F,F,D","D,F,D,D",0.0,-0.0073084496956677125,-0.0010295889524064572,0.0
0,art_painting,25,STD,0.02,0.8315327641275345,0.8181947254794604,-0.013338038648074146,"D,F,F,D","D,F,D,D",0.0,-0.0073084496956677125,-0.006029588952406462,0.0
0,art_painting,25,STD,0.05,0.8201570968646186,0.7956947254794603,-0.024462371385158277,"D,F,F,F","D,F,D,D",0.0,-0.0073084496956677125,-0.013529588952406468,-0.003624332737084013
0,art_painting,25,STD,0.1,0.818672464573932,0.7750537518166803,-0.0436187127572516,"F,F,F,F","F,F,F,D",0.0002501309509095606,-0.0073084496956677125,-0.020436061275409423,-0.016124332737083996
