seed,domain,N,method,DeltaS_local,DeltaS_cross,I,evaluation_split,test_used,S_F0_photo,S_photo,DeltaS_photo,S_F0_art_painting,S_art_painting,DeltaS_art_painting,S_F0_cartoon,S_cartoon,DeltaS_cartoon,S_F0_sketch,S_sketch,DeltaS_sketch
1,sketch,25,REP2,0.04915723321549814,-0.05039038084518377,0.05039038084518377,validation,False,0.9185985474877896,0.8896775241285014,-0.028921023359288145,0.7107220113560592,0.7106589026463339,-6.310870972525695e-05,0.8431008405341763,0.821694591758006,-0.021406248776170367,0.643503839283553,0.6926610724990512,0.04915723321549814
1,photo,50,STD,0.00017593244194225033,-0.4164123108576937,0.4164123108576937,validation,False,0.9185985474877896,0.9187744799297318,0.00017593244194225033,0.7107220113560592,0.6888587096307891,-0.021863301725270068,0.8431008405341763,0.6902437788784751,-0.15285706165570123,0.643503839283553,0.40181189180683063,-0.2416919474767224
1,photo,50,O50,0.00017593244194225033,-0.3920787980335059,0.3920787980335059,validation,False,0.9185985474877896,0.9187744799297318,0.00017593244194225033,0.7107220113560592,0.7018070876616495,-0.008914923694409715,0.8431008405341763,0.6900424153447547,-0.1530584251894216,0.643503839283553,0.4133983901338784,-0.23010544914967462
1,photo,50,REP,0.014954257565095053,-0.12177796068776481,0.12177796068776481,validation,False,0.9185985474877896,0.9335528050528846,0.014954257565095053,0.7107220113560592,0.7209706844484086,0.010248673092349447,0.8431008405341763,0.7743360431202675,-0.06876479741390884,0.643503839283553,0.5802420029173476,-0.06326183636620542
1,photo,50,REP2,-0.009852216748768461,-0.16143946883660332,0.16143946883660332,validation,False,0.9185985474877896,0.9087463307390211,-0.009852216748768461,0.7107220113560592,0.7024039525273953,-0.008318058828663877,0.8431008405341763,0.7630704317006278,-0.0800304088335485,0.643503839283553,0.5704128381091621,-0.07309100117439093
1,art_painting,50,STD,-0.010259962650266852,-0.24838222354092754,0.24838222354092754,validation,False,0.9185985474877896,0.91402430399729,-0.004574243490499619,0.7107220113560592,0.7004620487057923,-0.010259962650266852,0.8431008405341763,0.7269117406749448,-0.11618909985923154,0.643503839283553,0.5158849590923567,-0.12761888019119638
1,art_painting,50,O50,0.015753483663931256,-0.22705241049597236,0.22705241049597236,validation,False,0.9185985474877896,0.9041720872485214,-0.01442646023926819,0.7107220113560592,0.7264754950199904,0.015753483663931256,0.8431008405341763,0.7197271703757818,-0.12337367015839451,0.643503839283553,0.5542515591852434,-0.08925228009830966
1,art_painting,50,REP,0.014453036167770827,-0.057874476918550855,0.057874476918550855,validation,False,0.9185985474877896,0.928450764236558,0.009852216748768461,0.7107220113560592,0.72517504752383,0.014453036167770827,0.8431008405341763,0.7943789373945306,-0.04872190313964575,0.643503839283553,0.6244990487558795,-0.019004790527673565
1,art_painting,50,REP2,0.0027970304819143754,-0.1355210146679604,0.1355210146679604,validation,False,0.9185985474877896,0.923700588304116,0.005102040816326481,0.7107220113560592,0.7135190418379735,0.0027970304819143754,0.8431008405341763,0.7807960646657098,-0.0623047758684665,0.643503839283553,0.5651855596677327,-0.07831827961582039
1,cartoon,50,STD,-0.021822845912719768,-0.24333726128898614,0.24333726128898614,validation,False,0.9185985474877896,0.856407782587665,-0.06219076490012454,0.7107220113560592,0.5860924440713465,-0.12462956728471264,0.8431008405341763,0.8212779946214566,-0.021822845912719768,0.643503839283553,0.5869869101794041,-0.05651692910414896
1,cartoon,50,O50,-0.049402927681465036,-0.3595722809013755,0.3595722809013755,validation,False,0.9185985474877896,0.8535035439691406,-0.06509500351864894,0.7107220113560592,0.5923134492991974,-0.11840856205686179,0.8431008405341763,0.7936979128527113,-0.049402927681465036,0.643503839283553,0.46743512395768827,-0.17606871532586477
1,cartoon,50,REP,-0.019691509971116572,-0.009254573358881912,0.009254573358881912,validation,False,0.9185985474877896,0.9483311301760373,0.029732582688247744,0.7107220113560592,0.6981362945171722,-0.012585716838886984,0.8431008405341763,0.8234093305630598,-0.019691509971116572,0.643503839283553,0.6171024000753104,-0.026401439208242672
1,cartoon,50,REP2,-0.06366151803063613,-0.10103991608127039,0.10103991608127039,validation,False,0.9185985474877896,0.9430531569177684,0.02445460942997879,0.7107220113560592,0.6715358829543546,-0.039186128401704545,0.8431008405341763,0.7794393225035402,-0.06366151803063613,0.643503839283553,0.5571954421740084,-0.08630839710954463
1,sketch,50,STD,-0.04964657521999083,-0.6106080895826397,0.6106080895826397,validation,False,0.9185985474877896,0.6438212642805047,-0.2747772832072849,0.7107220113560592,0.46096170462122654,-0.24976030673483263,0.8431008405341763,0.7570303408936542,-0.08607049964052216,0.643503839283553,0.5938572640635622,-0.04964657521999083
1,sketch,50,O50,-0.09048403349500433,-0.600176428780067,0.600176428780067,validation,False,0.9185985474877896,0.6363087307311047,-0.28228981675668485,0.7107220113560592,0.48859602431592114,-0.22212598704013803,0.8431008405341763,0.7473402155509322,-0.09576062498324411,0.643503839283553,0.5530198057885487,-0.09048403349500433
1,sketch,50,REP,0.07399015304960066,-0.07415088025284922,0.07415088025284922,validation,False,0.9185985474877896,0.8964836212571792,-0.0221149262306104,0.7107220113560592,0.7019585804121771,-0.0087634309438821,0.8431008405341763,0.7998283174558196,-0.04327252307835672,0.643503839283553,0.7174939923331537,0.07399015304960066
1,sketch,50,REP2,0.007030040784572478,-0.12836597480807443,0.12836597480807443,validation,False,0.9185985474877896,0.8571825838232957,-0.06141596366449387,0.7107220113560592,0.694933080153594,-0.015788931202465162,0.8431008405341763,0.7919397605930609,-0.051161079941115406,0.643503839283553,0.6505338800681255,0.007030040784572478
1,photo,100,STD,0.015130190007037192,-0.46097563370354183,0.46097563370354183,validation,False,0.9185985474877896,0.9337287374948268,0.015130190007037192,0.7107220113560592,0.6716922364492783,-0.039029774906780834,0.8431008405341763,0.6692099521058863,-0.17389088842829004,0.643503839283553,0.3954488689150821,-0.24805497036847096
1,photo,100,O50,0.005102040816326481,-0.5007935510455064,0.5007935510455064,validation,False,0.9185985474877896,0.923700588304116,0.005102040816326481,0.7107220113560592,0.6634407382415464,-0.0472812731145128,0.8431008405341763,0.6579671185756119,-0.18513372195856448,0.643503839283553,0.375125283311124,-0.26837855597242904
1,photo,100,REP,0.01970443349753681,-0.11991301995134385,0.11991301995134385,validation,False,0.9185985474877896,0.9383029809853264,0.01970443349753681,0.7107220113560592,0.7222986905570231,0.011576679200963946,0.8431008405341763,0.764187683329646,-0.0789131572045303,0.643503839283553,0.5909272973357755,-0.0525765419477775
