scope,grouping,label_mode,budget,i,j,n,mean_gamma,std_gamma,median_gamma,min_gamma,max_gamma,fraction_positive,fraction_negative,bootstrap95_low,bootstrap95_high
pair,random,pseudo,5,2,4,10,3.2679738562091384e-05,0.0026968210504284555,0.0,-0.005555555555555536,0.00588235294117645,0.1,0.1,-0.0016666666666666607,0.001764705882352935
pair,random,pseudo,5,3,4,10,-0.000563492063492077,0.0017819183640631771,0.0,-0.00563492063492077,0.0,0.0,0.1,-0.0016904761904762311,0.0
pair,random,pseudo,10,1,2,10,-0.0011124359653771232,0.0026324450954803603,0.0,-0.005480480480480443,0.002777777777777657,0.1,0.4,-0.0027415650945062375,0.0002614379084967089
pair,random,pseudo,10,1,3,10,-0.0011119691119691132,0.0032770199942095198,-1.1102230246251565e-16,-0.008416988416988236,0.002777777777777879,0.2,0.5,-0.0030806520806520247,0.0005705705705704838
pair,random,pseudo,10,1,4,10,-0.0005476190476190523,0.00117565732763049,0.0,-0.002777777777777657,7.936507936501247e-05,0.1,0.3,-0.0013809523809523278,1.587301587298029e-05
pair,random,pseudo,10,2,3,10,-0.00026276276276276933,0.003292336650733422,0.0,-0.005480480480480443,0.005555555555555314,0.3,0.4,-0.002162537537537536,0.0016666666666666052
pair,random,pseudo,10,2,4,10,-0.0005242006712595559,0.0017296828127041546,0.0,-0.002777777777777879,0.0028571428571425583,0.1,0.4,-0.0015418325888914592,0.0005555555555554869
pair,random,pseudo,10,3,4,10,1.544401544402163e-05,0.0026302157840133902,0.0,-0.002777777777777879,0.005634920634920548,0.2,0.4,-0.0013743028743028575,0.00169841269841271
pair,random,pseudo,20,1,2,10,0.0005405405405405461,0.004268824211712476,0.0,-0.008258258258258322,0.008337623337623556,0.4,0.4,-0.0019519626769627157,0.0030180180180180765
pair,random,pseudo,20,1,3,10,0.0008576097105509218,0.005056922168122335,5.551115123125783e-17,-0.005480480480480443,0.011199434728846658,0.5,0.3,-0.0019069069069068691,0.004186085244908834
