seed,grouping,label_mode,budget,intervention,source_groups,actual_examples,validation_balanced_accuracy,test_balanced_accuracy
1,random,pseudo,20,2+3,"[2,3]",40,0.9469626769626769,0.9493331566860977
1,random,pseudo,20,2+4,"[2,4]",40,0.9469626769626769,0.9438526762056172
1,random,pseudo,20,3+4,"[3,4]",40,0.94981981981982,0.9465553789083201
1,random,pseudo,40,0,[],0,0.9469626769626769,0.9466304539833951
1,random,pseudo,40,1,[1],40,0.9468082368082369,0.9495716304539833
1,random,pseudo,40,2,[2],36,0.9469626769626769,0.9466304539833951
1,random,pseudo,40,3,[3],36,0.9498198198198198,0.9493331566860977
1,random,pseudo,40,4,[4],36,0.94981981981982,0.9495716304539833
1,random,pseudo,40,1+2,"[1,2]",76,0.9468082368082369,0.9495716304539833
1,random,pseudo,40,1+3,"[1,3]",76,0.9441055341055341,0.9495716304539833
1,random,pseudo,40,1+4,"[1,4]",76,0.9496653796653798,0.9495716304539833
1,random,pseudo,40,2+3,"[2,3]",72,0.9469626769626769,0.9493331566860977
1,random,pseudo,40,2+4,"[2,4]",72,0.94981981981982,0.9495716304539833
1,random,pseudo,40,3+4,"[3,4]",72,0.94981981981982,0.9493331566860977
1,random,true,5,0,[],0,0.9469626769626769,0.9466304539833951
1,random,true,5,1,[1],5,0.9469626769626769,0.9495716304539833
1,random,true,5,2,[2],5,0.9469626769626769,0.9466304539833951
1,random,true,5,3,[3],5,0.9469626769626769,0.9466304539833951
1,random,true,5,4,[4],5,0.9469626769626769,0.9466304539833951
1,random,true,5,1+2,"[1,2]",10,0.9469626769626769,0.9495716304539833
1,random,true,5,1+3,"[1,3]",10,0.9469626769626769,0.9495716304539833
1,random,true,5,1+4,"[1,4]",10,0.9469626769626769,0.9495716304539833
1,random,true,5,2+3,"[2,3]",10,0.9469626769626769,0.9466304539833951
1,random,true,5,2+4,"[2,4]",10,0.9469626769626769,0.9466304539833951
1,random,true,5,3+4,"[3,4]",10,0.9469626769626769,0.9466304539833951
1,random,true,10,0,[],0,0.9469626769626769,0.9466304539833951
1,random,true,10,1,[1],10,0.9469626769626769,0.9495716304539833
1,random,true,10,2,[2],10,0.9469626769626769,0.9466304539833951
1,random,true,10,3,[3],10,0.9469626769626769,0.9466304539833951
1,random,true,10,4,[4],10,0.9469626769626769,0.9466304539833951
1,random,true,10,1+2,"[1,2]",20,0.9469626769626769,0.9495716304539833
1,random,true,10,1+3,"[1,3]",20,0.9469626769626769,0.9495716304539833
1,random,true,10,1+4,"[1,4]",20,0.9469626769626769,0.9495716304539833
1,random,true,10,2+3,"[2,3]",20,0.9469626769626769,0.9466304539833951
1,random,true,10,2+4,"[2,4]",20,0.9469626769626769,0.9493331566860977
1,random,true,10,3+4,"[3,4]",20,0.9498198198198198,0.9466304539833951
1,random,true,20,0,[],0,0.9469626769626769,0.9466304539833951
1,random,true,20,1,[1],20,0.9469626769626769,0.9497350291467939
1,random,true,20,2,[2],20,0.9469626769626769,0.9466304539833951
1,random,true,20,3,[3],20,0.94981981981982,0.9466304539833951
