seed,domain,N,c,h,kappa,rho,DeltaV,Omega,kappa_star,kappa_star_error,sep_action,hls_action,sepomega_action,J_SEP,J_HLS,J_SEP_Omega,DeltaJ,Delta_coord,action_match,coord_error
2,sketch,25,0.02,2,0.001335686336830344,-0.09340948304623964,0.001335686336830344,0.001335686336830344,0.002671372673660688,0.0,"D,REP","D,REP","D,REP",2.375689522837813,2.375689522837813,2.375689522837813,0.0,0.0,True,0.0
2,sketch,25,0.02,2,0.002671372673660688,-0.09340948304623964,0.001335686336830344,0.0,0.002671372673660688,0.0,"D,0","D,0","D,0",2.374353836500983,2.374353836500983,2.374353836500983,0.0,0.0,True,0.0
2,sketch,25,0.02,2,1.0026713726736607,-0.09340948304623964,0.001335686336830344,0.0,0.002671372673660688,0.0,"D,0","D,0","D,0",2.374353836500983,2.374353836500983,2.374353836500983,0.0,0.0,True,0.0
2,sketch,25,0.02,5,0.0,-0.09340948304623964,0.001335686336830344,0.00667843168415172,0.00667843168415172,0.0,"D,REP","D,REP","D,REP",4.793963820623666,4.793963820623666,4.793963820623666,0.0,0.0,True,0.0
2,sketch,25,0.02,5,0.00333921584207586,-0.09340948304623964,0.001335686336830344,0.00333921584207586,0.00667843168415172,0.0,"D,REP","D,REP","D,REP",4.7906246047815895,4.7906246047815895,4.7906246047815895,0.0,0.0,True,0.0
2,sketch,25,0.02,5,0.00667843168415172,-0.09340948304623964,0.001335686336830344,0.0,0.00667843168415172,0.0,"D,0","D,0","D,0",4.787285388939513,4.787285388939513,4.787285388939513,0.0,0.0,True,0.0
2,sketch,25,0.02,5,1.0066784316841517,-0.09340948304623964,0.001335686336830344,0.0,0.00667843168415172,0.0,"D,0","D,0","D,0",4.787285388939513,4.787285388939513,4.787285388939513,0.0,0.0,True,0.0
2,sketch,25,0.02,10,0.0,-0.09340948304623964,0.001335686336830344,0.01335686336830344,0.01335686336830344,0.0,"D,REP","D,REP","D,REP",8.822194839705368,8.822194839705368,8.822194839705368,0.0,0.0,True,0.0
2,sketch,25,0.02,10,0.00667843168415172,-0.09340948304623964,0.001335686336830344,0.00667843168415172,0.01335686336830344,0.0,"D,REP","D,REP","D,REP",8.815516408021217,8.815516408021217,8.815516408021217,0.0,0.0,True,0.0
2,sketch,25,0.02,10,0.01335686336830344,-0.09340948304623964,0.001335686336830344,0.0,0.01335686336830344,0.0,"D,0","D,0","D,0",8.808837976337063,8.808837976337063,8.808837976337063,0.0,0.0,True,0.0
2,sketch,25,0.02,10,1.0133568633683034,-0.09340948304623964,0.001335686336830344,0.0,0.01335686336830344,0.0,"D,0","D,0","D,0",8.808837976337063,8.808837976337063,8.808837976337063,0.0,0.0,True,0.0
2,sketch,25,0.05,1,0.0,-0.06340948304623961,0.0025852435419694286,0.0025852435419694286,0.0025852435419694286,0.0,"D,REP","D,REP","D,REP",1.529230525187572,1.529230525187572,1.529230525187572,0.0,0.0,True,0.0
