domain,N,c,B,n_seeds,n_integration_changes,n_current_fast,n_noncompensating,mean_rho,std_rho,mean_DeltaV,std_DeltaV,mean_H,std_H,mean_DeltaV_local,mean_DeltaV_cross
art_painting,100,0.05,10,5,0,5,5,0.0454356921442914,0.04552405091196551,-0.030186140201358326,0.01009361630788112,-0.3472970941578747,0.13925082546293935,-0.0068900874076608,-0.023296052793697508
art_painting,100,0.1,1,5,0,5,5,0.09543569214429133,0.04552405091196551,-0.05253108969417506,0.015473571252022948,-0.1479667818384664,0.05314787431613688,-0.010475771373773446,-0.04205531832040155
art_painting,100,0.1,2,5,0,5,5,0.09543569214429133,0.04552405091196551,-0.05253108969417506,0.015473571252022948,-0.20049787153264145,0.0636852941564644,-0.010475771373773446,-0.04205531832040155
art_painting,100,0.1,5,5,0,5,5,0.09543569214429133,0.04552405091196551,-0.05253108969417506,0.015473571252022948,-0.35809114061516667,0.10306480496128206,-0.010475771373773446,-0.04205531832040155
art_painting,100,0.1,10,5,0,5,5,0.09543569214429133,0.04552405091196551,-0.05253108969417506,0.015473571252022948,-0.620746589086042,0.17647617175287594,-0.010475771373773446,-0.04205531832040155
art_painting,100,0.15,1,5,0,5,5,0.14543569214429136,0.04552405091196551,-0.0672497604785008,0.017154875127081463,-0.21268545262279215,0.053127039001980056,-0.0110373664778337,-0.05621239400066702
art_painting,100,0.15,2,5,0,5,5,0.14543569214429136,0.04552405091196551,-0.0672497604785008,0.017154875127081463,-0.279935213101293,0.06450662614066953,-0.0110373664778337,-0.05621239400066702
art_painting,100,0.15,5,5,0,5,5,0.14543569214429136,0.04552405091196551,-0.0672497604785008,0.017154875127081463,-0.48168449453679535,0.10820558826772213,-0.0110373664778337,-0.05621239400066702
art_painting,100,0.15,10,5,0,5,5,0.14543569214429136,0.04552405091196551,-0.0672497604785008,0.017154875127081463,-0.8179332969292993,0.18989193370067167,-0.0110373664778337,-0.05621239400066702
cartoon,25,0.0,1,5,0,4,4,0.0326755958126189,0.023630649501426022,-0.004116107891562337,0.00742200191422754,-0.036791703704181236,0.02857065842400082,-0.0018449706276216006,-0.00227113726394077
cartoon,25,0.0,2,5,0,4,4,0.0326755958126189,0.023630649501426022,-0.004116107891562337,0.00742200191422754,-0.04090781159574357,0.034414091220489995,-0.0018449706276216006,-0.00227113726394077
cartoon,25,0.0,5,5,0,4,4,0.0326755958126189,0.023630649501426022,-0.004116107891562337,0.00742200191422754,-0.053256135270430584,0.05430934062169791,-0.0018449706276216006,-0.00227113726394077
cartoon,25,0.0,10,5,0,4,4,0.0326755958126189,0.023630649501426022,-0.004116107891562337,0.00742200191422754,-0.07383667472824226,0.08997170100874959,-0.0018449706276216006,-0.00227113726394077
cartoon,25,0.02,1,5,0,5,5,0.052675595812618915,0.023630649501426022,-0.0029411766577998044,0.007877442614450293,-0.05561677247041872,0.02854752416682995,-0.0015233205329872712,-0.001417856124812561
cartoon,25,0.02,2,5,1,5,4,0.052675595812618915,0.023630649501426022,-0.0029411766577998044,0.007877442614450293,-0.058557949128218524,0.034577780156339555,-0.0015233205329872712,-0.001417856124812561
cartoon,25,0.02,5,5,1,5,4,0.052675595812618915,0.023630649501426022,-0.0029411766577998044,0.007877442614450293,-0.06738147910161793,0.055518081196317175,-0.0015233205329872712,-0.001417856124812561
cartoon,25,0.02,10,5,1,5,4,0.052675595812618915,0.023630649501426022,-0.0029411766577998044,0.007877442614450293,-0.08208736239061695,0.09332101687605189,-0.0015233205329872712,-0.001417856124812561
cartoon,25,0.05,1,5,0,5,5,0.08267559581261893,0.02363064950142602,-0.0071882992381713025,0.006463977336176082,-0.08986389505079025,0.027624046411303508,-0.0015233205329872712,-0.005664978705184021
cartoon,25,0.05,2,5,0,5,5,0.08267559581261893,0.02363064950142602,-0.0071882992381713025,0.006463977336176082,-0.09705219428896154,0.032424285503518044,-0.0015233205329872712,-0.005664978705184021
cartoon,25,0.05,5,5,0,5,5,0.08267559581261893,0.02363064950142602,-0.0071882992381713025,0.006463977336176082,-0.11861709200347545,0.049167767666269215,-0.0015233205329872712,-0.005664978705184021
cartoon,25,0.05,10,5,0,5,5,0.08267559581261893,0.02363064950142602,-0.0071882992381713025,0.006463977336176082,-0.15455858819433196,0.07978521986457837,-0.0015233205329872712,-0.005664978705184021
cartoon,25,0.1,1,5,0,5,5,0.13267559581261887,0.02363064950142602,-0.01633433040901202,0.010584684635079228,-0.1490099262216309,0.025105296262819564,-0.0015233205329872712,-0.014811009876024673
cartoon,25,0.1,2,5,0,5,5,0.13267559581261887,0.02363064950142602,-0.01633433040901202,0.010584684635079228,-0.16534425663064292,0.030433785546277393,-0.0015233205329872712,-0.014811009876024673
cartoon,25,0.1,5,5,0,5,5,0.13267559581261887,0.02363064950142602,-0.01633433040901202,0.010584684635079228,-0.21434724785767897,0.05620017878320648,-0.0015233205329872712,-0.014811009876024673
cartoon,25,0.1,10,5,0,5,5,0.13267559581261887,0.02363064950142602,-0.01633433040901202,0.010584684635079228,-0.2960188999027391,0.10658466135365639,-0.0015233205329872712,-0.014811009876024673
cartoon,25,0.15,1,5,0,5,5,0.1826755958126189,0.02363064950142602,-0.016684619079108474,0.011052080573943406,-0.1993602148917274,0.025225168027155676,-0.0015233205329872712,-0.015161298546121143
cartoon,25,0.15,2,5,0,5,5,0.1826755958126189,0.02363064950142602,-0.016684619079108474,0.011052080573943406,-0.2160448339708359,0.03095977354831754,-0.0015233205329872712,-0.015161298546121143
cartoon,25,0.15,5,5,0,5,5,0.1826755958126189,0.02363064950142602,-0.016684619079108474,0.011052080573943406,-0.2660986912081613,0.05823130452611332,-0.0015233205329872712,-0.015161298546121143
