scope,N,intervention_domain,affected_domain,n,mean,std,median,min,max,n_positive,n_zero,n_negative,fraction_positive,fraction_zero,fraction_negative
matrix_by_N,50,art_painting,sketch,5,-0.14377304858658674,0.06312488398627393,-0.1478075695219765,-0.22030656928726972,-0.061092361694355946,0,0,5,0.0,0.0,1.0
matrix_by_N,50,cartoon,photo,5,-0.05753815070992885,0.014699426187364091,-0.05323375178770051,-0.07793239654037365,-0.0440171619259494,0,0,5,0.0,0.0,1.0
matrix_by_N,50,cartoon,art_painting,5,-0.10884695957830486,0.016350724229242074,-0.10340367621256397,-0.13312055364013609,-0.09000970155448684,0,0,5,0.0,0.0,1.0
matrix_by_N,50,cartoon,cartoon,5,-0.021604163225869156,0.031115539306568844,-0.012002134427305244,-0.06531859860239886,0.010525402039299303,1,0,4,0.2,0.0,0.8
matrix_by_N,50,cartoon,sketch,5,-0.05734156274206516,0.06455539812062427,-0.04601720303532297,-0.16355832421329225,0.009261045581658522,1,0,4,0.2,0.0,0.8
matrix_by_N,50,photo,photo,5,0.021173858246796427,0.029498084479783006,0.019420671494404185,-0.023441053593604044,0.05386937867471786,4,0,1,0.8,0.0,0.2
matrix_by_N,50,photo,art_painting,5,-0.04627619742497498,0.030486527172757644,-0.03386292945839153,-0.08185365166429304,-0.01949674805134327,0,0,5,0.0,0.0,1.0
matrix_by_N,50,photo,cartoon,5,-0.15014038598489327,0.03829981602115874,-0.15504756623349347,-0.19313702885626727,-0.09342180744601847,0,0,5,0.0,0.0,1.0
matrix_by_N,50,photo,sketch,5,-0.24345880818748142,0.05873406938181739,-0.23517955792839262,-0.31629963930676097,-0.17677291368005688,0,0,5,0.0,0.0,1.0
matrix_by_N,50,sketch,photo,5,-0.3244280809972849,0.08042231821591164,-0.31164672765657986,-0.41996546543662383,-0.21474398911233472,0,0,5,0.0,0.0,1.0
matrix_by_N,50,sketch,art_painting,5,-0.4271606528841527,0.08023077904499161,-0.3993410717830235,-0.546964425990349,-0.357094481805513,0,0,5,0.0,0.0,1.0
